GENEID	Length
FBGN0004185	164
FBGN0025574	2975
FBGN0013347	617
FBGN0039124	1726
FBGN0016754	6427
FBGN0051141	961
FBGN0039125	1978
FBGN0039126	1091
FBGN0264741	1159
FBGN0264740	1155
FBGN0047114	644
FBGN0015282	1625
FBGN0039128	1029
FBGN0039129	666
FBGN0039130	1562
FBGN0001098	2343
FBGN0039131	1923
FBGN0005674	5453
FBGN0267761	1084
FBGN0039132	2026
FBGN0051140	7622
FBGN0051451	1563
FBGN0039135	1046
FBGN0039136	1956
FBGN0039137	3259
FBGN0015795	1700
FBGN0053108	1100
FBGN0051184	643
FBGN0020647	5938
FBGN0039139	1971
FBGN0039140	3791
FBGN0039141	3929
FBGN0005649	4010
FBGN0043455	1321
FBGN0264325	1493
FBGN0026576	2110
FBGN0264906	558
FBGN0039145	702
FBGN0001230	2231
FBGN0040283	3924
FBGN0053100	6418
FBGN0013343	2832
FBGN0039147	968
FBGN0039149	644
FBGN0039150	2174
FBGN0053536	84
FBGN0039152	7408
FBGN0039151	2212
FBGN0039153	1786
FBGN0026317	3896
FBGN0266673	2380
FBGN0039154	712
FBGN0039155	1993
FBGN0051133	1532
FBGN0267339	1184
FBGN0015765	1634
FBGN0039156	2008
FBGN0039157	5377
FBGN0039158	1373
FBGN0039159	600
FBGN0026598	3538
FBGN0039160	1362
FBGN0039161	1441
FBGN0029503	1241
FBGN0039163	1119
FBGN0266282	3590
FBGN0039165	2810
FBGN0011725	4723
FBGN0039167	4088
FBGN0026257	2049
FBGN0039169	3490
FBGN0039170	1516
FBGN0039172	1694
FBGN0002863	243
FBGN0266744	779
FBGN0043884	14639
FBGN0264901	534
FBGN0261452	119
FBGN0039175	1960
FBGN0011225	5641
FBGN0051130	84
FBGN0086365	2700
FBGN0019952	2533
FBGN0039177	1548
FBGN0267222	458
FBGN0039178	2887
FBGN0085319	932
FBGN0263398	2485
FBGN0039180	978
FBGN0259685	8144
FBGN0028471	3490
FBGN0267762	967
FBGN0011785	7244
FBGN0039182	4622
FBGN0039183	3588
FBGN0039184	2715
FBGN0262457	64
FBGN0011581	1178
FBGN0039186	4576
FBGN0039187	5299
FBGN0039188	1814
FBGN0039189	1676
FBGN0039190	921
FBGN0053339	1018
FBGN0053340	1152
FBGN0039192	714
FBGN0039193	660
FBGN0261993	642
FBGN0261994	691
FBGN0053341	946
FBGN0039194	1047
FBGN0039195	1484
FBGN0039196	1506
FBGN0086610	660
FBGN0039197	1633
FBGN0039198	1037
FBGN0039199	1139
FBGN0039200	752
FBGN0000036	11027
FBGN0267612	644
FBGN0263409	603
FBGN0267209	521
FBGN0051128	860
FBGN0000039	2387
FBGN0262389	71
FBGN0004118	4018
FBGN0039201	2622
FBGN0003134	3210
FBGN0264791	454
FBGN0039202	1201
FBGN0039203	1021
FBGN0039204	1514
FBGN0039205	725
FBGN0262167	5610
FBGN0039207	5283
FBGN0266758	3510
FBGN0011845	72
FBGN0004188	107
FBGN0004189	107
FBGN0004190	107
FBGN0039209	7133
FBGN0267763	535
FBGN0039210	2094
FBGN0263490	7369
FBGN0267764	525
FBGN0039212	1442
FBGN0039213	3349
FBGN0046685	2895
FBGN0262858	481
FBGN0039214	13438
FBGN0000139	2235
FBGN0051125	1450
FBGN0039215	3170
FBGN0262431	56
FBGN0051126	589
FBGN0020018	1655
FBGN0003429	10153
FBGN0039217	2728
FBGN0039218	405
FBGN0039219	1301
FBGN0004885	5411
FBGN0086059	95
FBGN0003719	3359
FBGN0000140	6338
FBGN0015591	1459
FBGN0267210	757
FBGN0040600	1583
FBGN0259233	5302
FBGN0039223	2278
FBGN0039225	3213
FBGN0039224	1837
FBGN0039226	1608
FBGN0039227	5119
FBGN0027539	2831
FBGN0039228	927
FBGN0083986	495
FBGN0027617	2043
FBGN0267765	1373
FBGN0039229	4332
FBGN0045980	2791
FBGN0262722	245
FBGN0051118	1416
FBGN0051357	1681
FBGN0262962	619
FBGN0039232	2151
FBGN0266743	572
FBGN0053658	546
FBGN0013953	2907
FBGN0039233	708
FBGN0039234	2906
FBGN0051119	1692
FBGN0039235	972
FBGN0051105	1851
FBGN0265266	467
FBGN0039237	507
FBGN0039238	1286
FBGN0039239	542
FBGN0013949	2135
FBGN0015625	2883
FBGN0039240	4723
FBGN0043799	1699
FBGN0039241	2285
FBGN0051121	3557
FBGN0039244	2038
FBGN0040601	3284
FBGN0039246	1933
FBGN0265253	691
FBGN0265190	1764
FBGN0051382	72
FBGN0051416	72
FBGN0265189	1826
FBGN0039249	3373
FBGN0039250	2511
FBGN0267766	867
FBGN0039251	1870
FBGN0039252	2853
FBGN0020626	3248
FBGN0029157	5086
FBGN0039254	1645
FBGN0039255	1584
FBGN0039257	10448
FBGN0039258	1099
FBGN0039259	489
FBGN0015240	2834
FBGN0039260	3310
FBGN0039261	3361
FBGN0051115	981
FBGN0045866	807
FBGN0259178	3313
FBGN0039264	768
FBGN0039265	1146
FBGN0039266	2533
FBGN0051109	978
FBGN0051111	952
FBGN0266719	4312
FBGN0039269	1047
FBGN0039270	868
FBGN0011336	2703
FBGN0039271	836
FBGN0039272	1366
FBGN0039273	1496
FBGN0039274	1012
FBGN0004897	2195
FBGN0004898	1088
FBGN0053096	3906
FBGN0053095	3581
FBGN0266534	1065
FBGN0054027	4560
FBGN0039277	2680
FBGN0051108	3463
FBGN0051510	4289
FBGN0046214	1773
FBGN0039280	1420
FBGN0260229	1420
FBGN0259152	3386
FBGN0039282	4328
FBGN0267767	301
FBGN0039283	1832
FBGN0083946	2859
FBGN0039286	3968
FBGN0039288	937
FBGN0022800	2939
FBGN0039290	3999
FBGN0039291	802
FBGN0051106	1676
FBGN0051103	1621
FBGN0039293	2363
FBGN0039294	3028
FBGN0039296	1831
FBGN0039297	1045
FBGN0039298	1253
FBGN0039299	1039
FBGN0000158	1894
FBGN0039300	729
FBGN0039301	1227
FBGN0039302	8553
FBGN0039303	1801
FBGN0039304	1402
FBGN0267768	455
FBGN0039305	493
FBGN0027090	2455
FBGN0039306	1751
FBGN0266741	1360
FBGN0263002	361
FBGN0039307	1248
FBGN0039308	2944
FBGN0039309	2922
FBGN0039310	1345
FBGN0039311	1358
FBGN0039312	1358
FBGN0039313	1607
FBGN0051300	1474
FBGN0051104	1382
FBGN0039315	1334
FBGN0039316	1415
FBGN0051098	1487
FBGN0051102	1756
FBGN0051097	1477
FBGN0051288	1377
FBGN0039319	1301
FBGN0051370	1408
FBGN0051436	1402
FBGN0039321	1594
FBGN0051099	1401
FBGN0051087	1458
FBGN0039323	1435
FBGN0039324	1442
FBGN0039325	1367
FBGN0039326	1527
FBGN0045761	1463
FBGN0039328	1450
FBGN0039329	3310
FBGN0028647	4601
FBGN0027376	4288
FBGN0261575	2104
FBGN0004509	9128
FBGN0039331	1700
FBGN0039332	1717
FBGN0051437	852
FBGN0051439	2796
FBGN0039335	2091
FBGN0039336	1280
FBGN0039337	743
FBGN0039338	4688
FBGN0039339	2563
FBGN0259991	2158
FBGN0040212	3781
FBGN0265068	1978
FBGN0039341	1803
FBGN0053494	849
FBGN0266253	349
FBGN0263410	682
FBGN0263411	353
FBGN0267211	1101
FBGN0039342	681
FBGN0039343	2005
FBGN0011666	11500
FBGN0267769	633
FBGN0039344	1758
FBGN0267570	2738
FBGN0262319	100
FBGN0261287	1842
FBGN0039348	2476
FBGN0039346	786
FBGN0039347	2266
FBGN0039349	1876
FBGN0039350	3072
FBGN0262411	95
FBGN0267577	986
FBGN0262388	100
FBGN0027508	5486
FBGN0267770	882
FBGN0266735	952
FBGN0261986	3429
FBGN0039354	3005
FBGN0266752	943
FBGN0039355	1513
FBGN0039356	719
FBGN0039357	1082
FBGN0039358	2376
FBGN0039359	987
FBGN0039360	1572
FBGN0051092	5510
FBGN0267771	663
FBGN0066101	6638
FBGN0039366	1978
FBGN0039367	1958
FBGN0039368	950
FBGN0039369	923
FBGN0039370	1038
FBGN0039371	970
FBGN0051380	1335
FBGN0051093	585
FBGN0263622	743
FBGN0263623	704
FBGN0263624	356
FBGN0263625	339
FBGN0264429	931
FBGN0250831	384
FBGN0267212	636
FBGN0039373	680
FBGN0039374	1224
FBGN0011273	1224
FBGN0039376	1041
FBGN0266254	1449
FBGN0011670	378
FBGN0261061	168
FBGN0011669	195
FBGN0011668	325
FBGN0039378	1520
FBGN0267213	461
FBGN0267214	641
FBGN0267215	301
FBGN0267216	400
FBGN0267217	357
FBGN0040602	813
FBGN0039379	1894
FBGN0039380	4649
FBGN0027865	3343
FBGN0039381	2985
FBGN0028717	3335
FBGN0039385	1532
FBGN0039386	951
FBGN0039387	2202
FBGN0051091	2149
FBGN0051089	1408
FBGN0262904	1657
FBGN0250757	8363
FBGN0039395	1495
FBGN0039396	2986
FBGN0054024	535
FBGN0039398	2284
FBGN0000206	3013
FBGN0259146	5847
FBGN0015269	10064
FBGN0262576	897
FBGN0002734	1013
FBGN0002735	911
FBGN0266397	469
FBGN0266398	404
FBGN0002733	978
FBGN0266399	572
FBGN0002732	676
FBGN0002578	1705
FBGN0266400	972
FBGN0002592	957
FBGN0263652	1283
FBGN0263653	598
FBGN0002609	1305
FBGN0002629	759
FBGN0002631	882
FBGN0002632	1137
FBGN0002633	982
FBGN0000591	769
FBGN0001139	4455
FBGN0266668	2246
FBGN0039402	1248
FBGN0028833	1202
FBGN0039403	773
FBGN0039404	657
FBGN0039405	814
FBGN0260224	814
FBGN0039406	621
FBGN0039407	1069
FBGN0039408	1432
FBGN0266255	1064
FBGN0039411	4225
FBGN0265378	873
FBGN0051324	3925
FBGN0267729	615
FBGN0039413	1210
FBGN0039415	2161
FBGN0051323	3558
FBGN0051086	906
FBGN0039417	1564
FBGN0083966	974
FBGN0083965	972
FBGN0265379	473
FBGN0039419	4453
FBGN0267730	1214
FBGN0267731	512
FBGN0000064	3809
FBGN0265380	550
FBGN0039420	3893
FBGN0053970	4058
FBGN0261833	588
FBGN0039421	1184
FBGN0039424	1452
FBGN0039425	1983
FBGN0040606	408
FBGN0085320	267
FBGN0051084	482
FBGN0263382	584
FBGN0263118	2411
FBGN0042711	1507
FBGN0042710	1569
FBGN0039427	1392
FBGN0262577	319
FBGN0023178	680
FBGN0039428	366
FBGN0039429	1910
FBGN0039430	3002
FBGN0039431	7490
FBGN0267752	562
FBGN0266753	2265
FBGN0263289	17197
FBGN0267753	1918
FBGN0266256	1334
FBGN0267438	397
FBGN0039434	1030
FBGN0039435	757
FBGN0039436	1025
FBGN0039437	1066
FBGN0039438	807
FBGN0039439	840
FBGN0039440	908
FBGN0039441	1088
FBGN0051080	920
FBGN0051081	1059
FBGN0039443	810
FBGN0039444	965
FBGN0250908	6138
FBGN0243586	1031
FBGN0039448	893
FBGN0023179	3991
FBGN0039449	2101
FBGN0039450	1522
FBGN0039451	4175
FBGN0040607	486
FBGN0040608	715
FBGN0039452	615
FBGN0039453	749
FBGN0039454	984
FBGN0267122	935
FBGN0267123	751
FBGN0261860	484
FBGN0261861	1416
FBGN0262473	5198
FBGN0086060	115
FBGN0051072	3615
FBGN0267742	1428
FBGN0262379	59
FBGN0039459	1184
FBGN0027889	2027
FBGN0001197	1224
FBGN0026562	1201
FBGN0004903	3286
FBGN0002838	711
FBGN0039461	859
FBGN0003267	1241
FBGN0004359	2449
FBGN0004510	1858
FBGN0015541	5182
FBGN0039462	1301
FBGN0051071	72
FBGN0051070	72
FBGN0039463	1587
FBGN0039464	2326
FBGN0039465	2635
FBGN0041224	1311
FBGN0039466	7742
FBGN0039467	2708
FBGN0051075	1874
FBGN0051076	615
FBGN0039469	1396
FBGN0004842	2302
FBGN0051077	3149
FBGN0039470	2127
FBGN0039471	1091
FBGN0039472	1052
FBGN0039473	1090
FBGN0039474	1083
FBGN0039475	1085
FBGN0039476	1072
FBGN0029170	1607
FBGN0039478	3946
FBGN0085321	844
FBGN0003495	2364
FBGN0264563	372
FBGN0039479	2628
FBGN0039480	1781
FBGN0039481	1054
FBGN0039482	901
FBGN0039483	1072
FBGN0243514	3301
FBGN0039485	995
FBGN0039486	1130
FBGN0039487	2635
FBGN0266736	1705
FBGN0027574	2302
FBGN0039488	1556
FBGN0039489	1526
FBGN0039490	2601
FBGN0039491	2897
FBGN0039492	4494
FBGN0029155	3381
FBGN0039494	1391
FBGN0039495	1455
FBGN0051065	1266
FBGN0085322	780
FBGN0003482	1026
FBGN0004197	5831
FBGN0054006	1587
FBGN0261995	1366
FBGN0261996	796
FBGN0051064	5244
FBGN0051068	2419
FBGN0005696	2066
FBGN0039498	1064
FBGN0042111	1824
FBGN0267754	369
FBGN0039500	1447
FBGN0039501	2472
FBGN0011289	1645
FBGN0010441	1931
FBGN0010328	6332
FBGN0264841	1848
FBGN0039503	1004
FBGN0039504	919
FBGN0002441	5398
FBGN0039505	784
FBGN0046247	1887
FBGN0039507	3110
FBGN0039508	3558
FBGN0039509	954
FBGN0015737	2360
FBGN0040609	543
FBGN0039510	14788
FBGN0265314	919
FBGN0039511	1190
FBGN0260487	6325
FBGN0263453	2980
FBGN0016061	11723
FBGN0267653	531
FBGN0265317	340
FBGN0263401	534
FBGN0039518	2842
FBGN0039519	4171
FBGN0039520	1919
FBGN0262613	602
FBGN0039521	615
FBGN0267755	709
FBGN0039522	1347
FBGN0039523	3165
FBGN0265316	2073
FBGN0265315	927
FBGN0046887	1212
FBGN0046886	1227
FBGN0046885	1239
FBGN0004387	5530
FBGN0039525	1273
FBGN0065105	43
FBGN0027492	7655
FBGN0040080	3279
FBGN0039527	5099
FBGN0039528	5800
FBGN0039530	6092
FBGN0039529	1507
FBGN0039531	1375
FBGN0039532	2427
FBGN0266579	6245
FBGN0262286	90
FBGN0027494	604
FBGN0002772	1414
FBGN0039536	10271
FBGN0039537	1492
FBGN0039538	976
FBGN0003330	1542
FBGN0051055	2073
FBGN0046258	1894
FBGN0263024	224
FBGN0263597	175
FBGN0263025	1297
FBGN0086346	2892
FBGN0045862	3085
FBGN0039543	2802
FBGN0039544	3250
FBGN0005659	3522
FBGN0085382	5049
FBGN0067407	210
FBGN0039551	1194
FBGN0039552	649
FBGN0267366	1097
FBGN0039554	2491
FBGN0039555	1341
FBGN0053213	1279
FBGN0039557	1246
FBGN0039558	1007
FBGN0003279	1400
FBGN0082923	147
FBGN0267126	430
FBGN0027579	3928
FBGN0051053	818
FBGN0039559	4589
FBGN0039560	4054
FBGN0039561	3037
FBGN0039562	2841
FBGN0039563	1646
FBGN0039564	2346
FBGN0039565	1718
FBGN0259990	1718
FBGN0051253	1228
FBGN0051054	523
FBGN0267108	321
FBGN0051131	1228
FBGN0039566	3123
FBGN0003890	1869
FBGN0039568	1053
FBGN0267756	681
FBGN0085391	9239
FBGN0267746	319
FBGN0267745	899
FBGN0267747	571
FBGN0085383	4609
FBGN0267748	789
FBGN0267749	459
FBGN0266401	981
FBGN0262588	777
FBGN0262587	784
FBGN0085465	853
FBGN0085466	876
FBGN0002865	1319
FBGN0004171	1066
FBGN0039576	503
FBGN0265160	657
FBGN0267772	659
FBGN0039577	975
FBGN0261618	9126
FBGN0267773	598
FBGN0039580	2545
FBGN0039581	3893
FBGN0267774	389
FBGN0039582	1154
FBGN0039584	3540
FBGN0267775	897
FBGN0039585	1425
FBGN0013813	15919
FBGN0051051	853
FBGN0003137	9544
FBGN0039588	2255
FBGN0000659	4289
FBGN0262741	5339
FBGN0263388	796
FBGN0026400	1138
FBGN0001215	2743
FBGN0082960	140
FBGN0082976	150
FBGN0082959	140
FBGN0082958	140
FBGN0082975	150
FBGN0082957	140
FBGN0082974	152
FBGN0039589	2179
FBGN0039590	8682
FBGN0039591	2274
FBGN0039592	1180
FBGN0051050	514
FBGN0053346	1096
FBGN0039593	1214
FBGN0039594	4491
FBGN0027655	11917
FBGN0039595	2356
FBGN0039596	2597
FBGN0039597	1325
FBGN0039598	1236
FBGN0266257	573
FBGN0085324	867
FBGN0039599	940
FBGN0261289	686
FBGN0005642	3184
FBGN0039600	4834
FBGN0065070	74
FBGN0039601	2150
FBGN0039602	4103
FBGN0024273	3125
FBGN0015589	8506
FBGN0264324	8100
FBGN0265274	2242
FBGN0053203	3243
FBGN0039609	2127
FBGN0039611	2185
FBGN0039612	2099
FBGN0039613	2154
FBGN0027578	2323
FBGN0265998	13638
FBGN0039616	1556
FBGN0039617	3105
FBGN0267229	2210
FBGN0039620	2274
FBGN0263579	100
FBGN0265204	897
FBGN0267127	1740
FBGN0039621	625
FBGN0039622	686
FBGN0039623	3224
FBGN0041780	1519
FBGN0266404	2969
FBGN0039625	1349
FBGN0027873	2431
FBGN0039626	1831
FBGN0003093	5772
FBGN0039627	1103
FBGN0039628	1076
FBGN0039629	1118
FBGN0267776	1254
FBGN0039630	1223
FBGN0039631	3058
FBGN0039632	3325
FBGN0039633	12599
FBGN0266390	1120
FBGN0039634	3211
FBGN0039635	2041
FBGN0039636	1866
FBGN0005596	4239
FBGN0039637	3509
FBGN0039638	2196
FBGN0028671	3289
FBGN0039639	604
FBGN0039640	3849
FBGN0039641	1216
FBGN0039642	1087
FBGN0014869	1136
FBGN0041588	1841
FBGN0041186	1132
FBGN0028692	3412
FBGN0039644	5031
FBGN0039645	4472
FBGN0039647	4726
FBGN0039648	639
FBGN0014427	1176
FBGN0039650	642
FBGN0039651	1293
FBGN0051044	5106
FBGN0262448	100
FBGN0262404	97
FBGN0029176	1695
FBGN0062442	675
FBGN0039654	2792
FBGN0039655	1233
FBGN0028476	5004
FBGN0039656	2707
FBGN0051427	1237
FBGN0051445	3221
FBGN0263236	3715
FBGN0003525	3064
FBGN0267104	818
FBGN0267128	733
FBGN0039659	3302
FBGN0015622	2795
FBGN0267107	624
FBGN0267106	440
FBGN0004369	9139
FBGN0264792	500
FBGN0039663	3605
FBGN0039664	1916
FBGN0040623	493
FBGN0039665	1279
FBGN0039666	416
FBGN0039667	2488
FBGN0039668	3719
FBGN0039669	784
FBGN0263588	644
FBGN0000492	2552
FBGN0039670	770
FBGN0039671	770
FBGN0051041	700
FBGN0086361	3149
FBGN0039673	2031
FBGN0262873	378
FBGN0039674	1623
FBGN0266137	5164
FBGN0039675	1662
FBGN0039676	1779
FBGN0039677	1890
FBGN0039678	610
FBGN0039679	1536
FBGN0025457	1362
FBGN0039680	4301
FBGN0039681	1232
FBGN0013972	2354
FBGN0039682	669
FBGN0039683	2350
FBGN0267129	401
FBGN0039684	500
FBGN0250832	310
FBGN0039685	594
FBGN0039686	1471
FBGN0267777	1479
FBGN0085325	420
FBGN0024841	725
FBGN0039687	736
FBGN0042213	615
FBGN0039688	7696
FBGN0027583	1250
FBGN0039689	1048
FBGN0039690	1564
FBGN0027518	2702
FBGN0267778	875
FBGN0039691	2043
FBGN0020235	1460
FBGN0260990	4765
FBGN0266258	1087
FBGN0001297	7789
FBGN0267779	728
FBGN0039694	1180
FBGN0262112	1154
FBGN0039696	3158
FBGN0019972	1927
FBGN0039697	1156
FBGN0039698	1130
FBGN0002924	2720
FBGN0000247	7026
FBGN0039702	1531
FBGN0039703	976
FBGN0039704	3005
FBGN0039705	2563
FBGN0260969	679
FBGN0039707	1053
FBGN0039709	5800
FBGN0039710	2535
FBGN0039711	1229
FBGN0051032	770
FBGN0039712	1369
FBGN0039713	1250
FBGN0086061	92
FBGN0065066	46
FBGN0039714	2223
FBGN0083969	4263
FBGN0051038	6269
FBGN0039718	525
FBGN0039719	472
FBGN0051036	3322
FBGN0039722	695
FBGN0003861	4149
FBGN0003357	1240
FBGN0003356	862
FBGN0003358	907
FBGN0039723	1381
FBGN0051202	1686
FBGN0051040	2340
FBGN0260759	1095
FBGN0260760	1095
FBGN0039726	1005
FBGN0039727	11469
FBGN0004622	2880
FBGN0039728	4955
FBGN0000032	2024
FBGN0039730	1515
FBGN0039731	1507
FBGN0039732	654
FBGN0039733	1856
FBGN0085327	548
FBGN0039734	2461
FBGN0039735	818
FBGN0016685	1080
FBGN0039736	1992
FBGN0039737	1910
FBGN0039738	3394
FBGN0039739	304
FBGN0026597	4985
FBGN0267780	655
FBGN0264837	302
FBGN0039740	1631
FBGN0041102	619
FBGN0001281	569
FBGN0001280	740
FBGN0003510	3353
FBGN0003511	3300
FBGN0003512	1546
FBGN0002626	796
FBGN0039741	2066
FBGN0039742	1032
FBGN0264838	1042
FBGN0039743	2042
FBGN0003479	1342
FBGN0039744	566
FBGN0260468	1192
FBGN0085346	1168
FBGN0266411	7194
FBGN0267781	536
FBGN0266442	1122
FBGN0266443	816
FBGN0051025	3376
FBGN0051029	3002
FBGN0086355	1558
FBGN0039747	3527
FBGN0267751	2574
FBGN0039748	1393
FBGN0039749	2506
FBGN0051030	1671
FBGN0051028	3775
FBGN0002773	2286
FBGN0039751	1582
FBGN0039752	2068
FBGN0260860	1051
FBGN0265202	554
FBGN0039754	2318
FBGN0039755	1158
FBGN0039756	1733
FBGN0039757	1139
FBGN0086664	144
FBGN0083047	137
FBGN0083048	136
FBGN0083049	137
FBGN0083050	138
FBGN0086665	139
FBGN0082983	142
FBGN0000094	373
FBGN0000276	339
FBGN0000280	166
FBGN0000277	355
FBGN0000281	201
FBGN0000278	425
FBGN0000279	386
FBGN0263402	529
FBGN0039758	1635
FBGN0039759	1467
FBGN0051383	80
FBGN0051023	80
FBGN0085328	799
FBGN0039760	1649
FBGN0039761	607
FBGN0267782	794
FBGN0010113	15063
FBGN0085329	641
FBGN0267783	884
FBGN0015222	2376
FBGN0015221	1648
FBGN0267130	561
FBGN0027544	4135
FBGN0261704	4135
FBGN0039764	828
FBGN0039765	528
FBGN0039766	664
FBGN0039767	2529
FBGN0039768	2203
FBGN0039769	2164
FBGN0039770	1600
FBGN0039771	853
FBGN0028646	3376
FBGN0039773	2140
FBGN0039774	2951
FBGN0039776	2248
FBGN0260440	2087
FBGN0039777	913
FBGN0039778	933
FBGN0039779	1683
FBGN0026190	1882
FBGN0039780	1737
FBGN0051371	1748
FBGN0051014	1708
FBGN0039782	1615
FBGN0263527	59
FBGN0054041	1797
FBGN0039783	1782
FBGN0051524	1691
FBGN0039784	1752
FBGN0027654	2178
FBGN0267112	1428
FBGN0267113	1390
FBGN0082582	8320
FBGN0083991	2619
FBGN0039787	2318
FBGN0039788	1445
FBGN0039789	2679
FBGN0039790	2431
FBGN0051019	1980
FBGN0051021	1496
FBGN0051017	1627
FBGN0051016	3923
FBGN0267131	3451
FBGN0266259	772
FBGN0264985	764
FBGN0039792	1734
FBGN0051013	1766
FBGN0051015	1949
FBGN0085461	723
FBGN0085462	898
FBGN0266701	557
FBGN0039795	2038
FBGN0039796	1750
FBGN0000274	1349
FBGN0267654	3142
FBGN0267784	1243
FBGN0051010	1360
FBGN0039797	1906
FBGN0039798	1222
FBGN0039799	1595
FBGN0039800	659
FBGN0039801	812
FBGN0262883	488
FBGN0004606	6915
FBGN0266699	929
FBGN0011739	5803
FBGN0262444	61
FBGN0039802	733
FBGN0027598	4662
FBGN0039804	4209
FBGN0003720	1965
FBGN0039805	1378
FBGN0039806	1267
FBGN0039807	1822
FBGN0039808	2640
FBGN0039809	1601
FBGN0000416	3527
FBGN0015032	1906
FBGN0053483	788
FBGN0020912	3571
FBGN0264833	702
FBGN0039810	1112
FBGN0039811	514
FBGN0039812	2608
FBGN0062411	1031
FBGN0004573	4486
FBGN0267785	327
FBGN0051008	529
FBGN0051007	758
FBGN0267786	813
FBGN0053773	605
FBGN0010015	3064
FBGN0053920	543
FBGN0016123	2412
FBGN0263562	106
FBGN0010808	940
FBGN0002413	4783
FBGN0024288	2049
FBGN0039816	1804
FBGN0039817	1784
FBGN0039818	2764
FBGN0261395	889
FBGN0039820	801
FBGN0039821	2643
FBGN0263412	721
FBGN0013973	4066
FBGN0086704	2297
FBGN0051004	5175
FBGN0004389	1028
FBGN0039827	2932
FBGN0267435	4872
FBGN0061476	2232
FBGN0039828	1207
FBGN0039829	1167
FBGN0039830	1980
FBGN0046696	299
FBGN0263544	99
FBGN0039831	6238
FBGN0039832	652
FBGN0039833	1822
FBGN0051005	3218
FBGN0039835	704
FBGN0039836	1075
FBGN0086362	1465
FBGN0039838	1101
FBGN0040628	1042
FBGN0040629	1060
FBGN0039839	1788
FBGN0039840	2244
FBGN0085376	6905
FBGN0267787	608
FBGN0046332	1772
FBGN0039844	3183
FBGN0051204	1634
FBGN0051002	1663
FBGN0019990	5743
FBGN0039846	3127
FBGN0261988	4690
FBGN0039848	1435
FBGN0039849	1732
FBGN0039850	715
FBGN0267114	876
FBGN0267115	698
FBGN0267132	1601
FBGN0039851	3385
FBGN0267133	3401
FBGN0039852	3812
FBGN0267789	995
FBGN0267788	299
FBGN0028968	3276
FBGN0043900	4507
FBGN0003268	6479
FBGN0266700	1614
FBGN0039854	1548
FBGN0039855	1567
FBGN0039856	1860
FBGN0039857	967
FBGN0039858	6143
FBGN0011655	3425
FBGN0039859	826
FBGN0039860	1344
FBGN0039861	3214
FBGN0039862	6616
FBGN0039863	5868
FBGN0039864	1060
FBGN0264900	366
FBGN0267124	492
FBGN0267125	751
FBGN0266412	718
FBGN0261583	408
FBGN0054046	444
FBGN0003870	7557
FBGN0039867	1407
FBGN0039868	831
FBGN0000557	2656
FBGN0039869	704
FBGN0039870	835
FBGN0000150	727
FBGN0261479	1114
FBGN0022349	3199
FBGN0039872	2114
FBGN0262384	68
FBGN0017448	2580
FBGN0265203	647
FBGN0039873	1996
FBGN0003065	1170
FBGN0263384	667
FBGN0046756	1393
FBGN0039874	2331
FBGN0039875	2660
FBGN0039876	1317
FBGN0005632	10488
FBGN0039877	2920
FBGN0027620	5079
FBGN0250755	3032
FBGN0039879	1812
FBGN0039881	1278
FBGN0039882	2158
FBGN0266268	1521
FBGN0039883	13106
FBGN0011224	12120
FBGN0039886	2014
FBGN0267116	761
FBGN0267117	10988
FBGN0039887	1374
FBGN0040206	5281
FBGN0002780	2287
FBGN0002645	6046
FBGN0052475	3413
FBGN0262679	879
FBGN0002564	2501
FBGN0265703	757
FBGN0265704	539
FBGN0262680	476
FBGN0264720	670
FBGN0035097	1326
FBGN0040688	608
FBGN0266950	412
FBGN0266951	413
FBGN0266949	346
FBGN0020386	6593
FBGN0267455	842
FBGN0035099	2294
FBGN0263988	2642
FBGN0035101	4099
FBGN0262681	394
FBGN0035102	1117
FBGN0267456	967
FBGN0035103	2151
FBGN0035104	2044
FBGN0083976	1730
FBGN0083992	1905
FBGN0027786	1501
FBGN0035106	11796
FBGN0035107	1739
FBGN0025592	1940
FBGN0024945	1527
FBGN0035109	1337
FBGN0027587	3208
FBGN0035110	929
FBGN0035111	3605
FBGN0063924	307
FBGN0063923	1276
FBGN0035113	4046
FBGN0035112	512
FBGN0053229	1754
FBGN0262109	5485
FBGN0262035	564
FBGN0085483	603
FBGN0085482	705
FBGN0000541	10072
FBGN0052476	2091
FBGN0024806	5932
FBGN0035120	853
FBGN0035121	3411
FBGN0263470	311
FBGN0083014	151
FBGN0035122	1092
FBGN0085292	258
FBGN0027111	1997
FBGN0029002	1508
FBGN0052845	1972
FBGN0035124	1513
FBGN0264707	13467
FBGN0004373	7436
FBGN0085293	633
FBGN0052344	2694
FBGN0052343	2354
FBGN0261985	4649
FBGN0035131	2133
FBGN0035132	4166
FBGN0023000	2420
FBGN0035134	1243
FBGN0265574	3346
FBGN0040291	506
FBGN0035137	4064
FBGN0035138	774
FBGN0262139	5502
FBGN0266927	1250
FBGN0264700	706
FBGN0035139	761
FBGN0001316	11717
FBGN0065092	64
FBGN0085296	375
FBGN0085297	373
FBGN0267664	527
FBGN0266593	347
FBGN0266592	459
FBGN0085298	660
FBGN0035140	1184
FBGN0035141	718
FBGN0035142	11604
FBGN0267458	524
FBGN0035143	1422
FBGN0035144	2825
FBGN0035145	5513
FBGN0035146	2198
FBGN0267457	1459
FBGN0016715	883
FBGN0265706	442
FBGN0261636	944
FBGN0263042	1453
